일시,,,강수지수,풍속지수,일사지수
2019-01-01,,,5,3,0
2019-01-02,,,5,3,0
2019-01-03,,,5,3.5,2
2019-01-04,,,3.5,4,0
2019-01-05,,,5,3.5,1.5
2019-01-06,,,5,3.5,1
2019-01-07,,,5,4,2.5
2019-01-08,,,5,3,0
2019-01-09,,,5,3.5,0.5
2019-01-10,,,5,3.5,0
2019-01-11,,,3.5,4,0
2019-01-12,,,3.5,3.5,2
2019-01-13,,,5,3,1
2019-01-14,,,5,4,2
2019-01-15,,,5,3,1.5
2019-01-16,,,5,3,0
2019-01-17,,,5,3,0
2019-01-18,,,5,4,3.5
2019-01-19,,,4.5,4,0.5
2019-01-20,,,5,3,1
2019-01-21,,,5,3,1
2019-01-22,,,5,3,2.5
2019-01-23,,,5,3,3.5
2019-01-24,,,5,4,4.5
2019-01-25,,,5,3,2
2019-01-26,,,5,2.5,2
2019-01-27,,,5,4,3
2019-01-28,,,5,3,1
2019-01-29,,,5,4,4
2019-01-30,,,5,4.5,0
2019-01-31,,,0,3,0
2019-02-01,,,5,3,0.5
2019-02-02,,,5,4,3.5
2019-02-03,,,0,3,0
2019-02-04,,,5,3.5,4.5
2019-02-05,,,5,3.5,4
2019-02-06,,,5,4,1.5
2019-02-07,,,1.5,3,0.5
2019-02-08,,,5,3.5,2.5
2019-02-09,,,5,3,0
2019-02-10,,,5,3.5,0.5
2019-02-11,,,5,3,0
2019-02-12,,,5,4,4
2019-02-13,,,5,3.5,4.5
2019-02-14,,,5,4,1
2019-02-15,,,5,4,0
2019-02-16,,,5,3,0
2019-02-17,,,5,3.5,0.5
2019-02-18,,,3,4,0
2019-02-19,,,0,3,0
2019-02-20,,,5,4,0.5
2019-02-21,,,5,4,3.5
2019-02-22,,,3.5,4,0
2019-02-23,,,5,4,3.5
2019-02-24,,,5,4,5
2019-02-25,,,5,3.5,4
2019-02-26,,,5,4,4.5
2019-02-27,,,0.5,4,0
2019-02-28,,,5,3.5,2.5
2019-03-01,,,5,4,3.5
2019-03-02,,,5,4,0
2019-03-03,,,0,3.5,0
2019-03-04,,,3.5,3.5,1
2019-03-05,,,5,4,1.5
2019-03-06,,,0,3,2
2019-03-07,,,5,3,3.5
2019-03-08,,,5,4,5
2019-03-09,,,0,4,1
2019-03-10,,,0,3,0
2019-03-11,,,4,3,3
2019-03-12,,,5,3,4.5
2019-03-13,,,5,3,5
2019-03-14,,,5,3.5,3
2019-03-15,,,5,3,3.5
2019-03-16,,,5,3,4
2019-03-17,,,5,3.5,5
2019-03-18,,,3.5,4,0
2019-03-19,,,5,4,5
2019-03-20,,,3.5,3,0
2019-03-21,,,5,3,0
2019-03-22,,,5,3,3.5
2019-03-23,,,5,3,4
2019-03-24,,,5,3.5,5
2019-03-25,,,5,4,0
2019-03-26,,,5,3,5
2019-03-27,,,5,3.5,4.5
2019-03-28,,,5,4,3
2019-03-29,,,5,4,5
2019-03-30,,,5,3,2.5
2019-03-31,,,5,2.5,3.5
2019-04-01,,,5,3,5
2019-04-02,,,5,3.5,5
2019-04-03,,,5,3.5,5
2019-04-04,,,5,3.5,4.5
2019-04-05,,,5,3,5
2019-04-06,,,5,4,4.5
2019-04-07,,,2.5,4,3.5
2019-04-08,,,5,4.5,5
2019-04-09,,,0,3,1
2019-04-10,,,0,3,0
2019-04-11,,,5,4,0
2019-04-12,,,5,4,5
2019-04-13,,,5,4,3
2019-04-14,,,5,4,0
2019-04-15,,,5,4,5
2019-04-16,,,5,4,3.5
2019-04-17,,,5,3.5,3.5
2019-04-18,,,5,4,5
2019-04-19,,,5,3.5,5
2019-04-20,,,5,3.5,5
2019-04-21,,,5,4,3.5
2019-04-22,,,5,3,4.5
2019-04-23,,,0,3,2
2019-04-24,,,5,3,1.5
2019-04-25,,,5,4,0
2019-04-26,,,5,3,0
2019-04-27,,,5,3,4
2019-04-28,,,5,3.5,0
2019-04-29,,,0,3,0
2019-04-30,,,4,4,0
2019-05-01,,,5,3,2
2019-05-02,,,5,3.5,5
2019-05-03,,,5,4,5
2019-05-04,,,5,4.5,5
2019-05-05,,,5,4,5
2019-05-06,,,5,3.5,5
2019-05-07,,,5,4,5
2019-05-08,,,5,4,3.5
2019-05-09,,,5,4,4.5
2019-05-10,,,5,4,5
2019-05-11,,,5,4,5
2019-05-12,,,5,4,5
2019-05-13,,,5,4,1
2019-05-14,,,5,3.5,3
2019-05-15,,,5,3.5,5
2019-05-16,,,5,4,4.5
2019-05-17,,,0,3,1
2019-05-18,,,0,3,1.5
2019-05-19,,,5,3,1.5
2019-05-20,,,4.5,3,2
2019-05-21,,,5,3.5,5
2019-05-22,,,5,3,5
2019-05-23,,,5,3,5
2019-05-24,,,5,3,5
2019-05-25,,,5,3.5,4.5
2019-05-26,,,5,4,0
2019-05-27,,,0,3,0
2019-05-28,,,5,3.5,5
2019-05-29,,,5,3.5,5
2019-05-30,,,5,4,3
2019-05-31,,,4.5,3.5,0
2019-06-01,,,5,4,4
2019-06-02,,,5,4,2
2019-06-03,,,5,4.5,5
2019-06-04,,,5,3.5,3
2019-06-05,,,5,4,5
2019-06-06,,,0,3.5,2.5
2019-06-07,,,5,2.5,0
2019-06-08,,,5,3.5,0
2019-06-09,,,5,3.5,5
2019-06-10,,,5,3.5,3.5
2019-06-11,,,5,3.5,3.5
2019-06-12,,,5,4,5
2019-06-13,,,5,3.5,4.5
2019-06-14,,,0,3.5,0
2019-06-15,,,5,3,2
2019-06-16,,,5,3.5,3
2019-06-17,,,5,4,4
2019-06-18,,,4.5,4.5,0
2019-06-19,,,5,4,4.5
2019-06-20,,,5,4.5,3.5
2019-06-21,,,5,4,4.5
2019-06-22,,,5,3.5,3
2019-06-23,,,5,3.5,3
2019-06-24,,,5,4,5
2019-06-25,,,5,3,5
2019-06-26,,,0,4,0.5
2019-06-27,,,5,3.5,1
2019-06-28,,,5,4,5
2019-06-29,,,3.5,3,0
2019-06-30,,,5,4,0
2019-07-01,,,3.5,4.5,0
2019-07-02,,,5,4,0.5
2019-07-03,,,5,4,0.5
2019-07-04,,,5,4.5,4.5
2019-07-05,,,5,4,3.5
2019-07-06,,,5,3.5,2.5
2019-07-07,,,5,3,0
2019-07-08,,,1.5,3.5,0
2019-07-09,,,3,3.5,0
2019-07-10,,,0,3,0
2019-07-11,,,4,3,3.5
2019-07-12,,,5,4,3
2019-07-13,,,0,4,0
2019-07-14,,,5,4,4
2019-07-15,,,5,4,2.5
2019-07-16,,,5,3.5,5
2019-07-17,,,0,3.5,1
2019-07-18,,,0,4,0
2019-07-19,,,0,3,0
2019-07-20,,,0,3,0
2019-07-21,,,5,3,4
2019-07-22,,,0,4,2
2019-07-23,,,5,4,5
2019-07-24,,,5,4,4.5
2019-07-25,,,5,4,4
2019-07-26,,,5,4,4.5
2019-07-27,,,0,4,1.5
2019-07-28,,,5,4,5
2019-07-29,,,5,4,5
2019-07-30,,,5,4,5
2019-07-31,,,5,4,5
2019-08-01,,,5,4,5
2019-08-02,,,5,3.5,5
2019-08-03,,,5,3.5,1
2019-08-04,,,5,3.5,5
2019-08-05,,,5,4,4
2019-08-06,,,5,4,4.5
2019-08-07,,,5,4,5
2019-08-08,,,5,3.5,4
2019-08-09,,,5,3.5,2
2019-08-10,,,5,3,0
2019-08-11,,,0,2.5,0
2019-08-12,,,0,4,2.5
2019-08-13,,,5,4,4.5
2019-08-14,,,4,4,4
2019-08-15,,,5,3,0
2019-08-16,,,1,3,4.5
2019-08-17,,,5,3.5,5
2019-08-18,,,5,4,2
2019-08-19,,,5,4,2.5
2019-08-20,,,5,3.5,1.5
2019-08-21,,,2,4.5,1.5
2019-08-22,,,0,3.5,2
2019-08-23,,,5,4,0.5
2019-08-24,,,5,4,2
2019-08-25,,,5,4,0
2019-08-26,,,5,3.5,0
2019-08-27,,,0,3.5,0
2019-08-28,,,0,4,0
2019-08-29,,,0,4,0
2019-08-30,,,5,3.5,4.5
2019-08-31,,,5,4,5
2019-09-01,,,0,4,0
2019-09-02,,,0,4,1
2019-09-03,,,0,4,0
2019-09-04,,,0,4.5,0
2019-09-05,,,0,4,1
2019-09-06,,,0,3,0
2019-09-07,,,0,2.5,4
2019-09-08,,,0,4,0
2019-09-09,,,0,3.5,0
2019-09-10,,,5,4,3.5
2019-09-11,,,0,4,2.5
2019-09-12,,,4.5,3.5,0
2019-09-13,,,5,3.5,2.5
2019-09-14,,,5,4,5
2019-09-15,,,5,4,4
2019-09-16,,,5,4,3.5
2019-09-17,,,5,3.5,4
2019-09-18,,,5,4,4.5
2019-09-19,,,5,3.5,3.5
2019-09-20,,,5,3,1.5
2019-09-21,,,0,3,0
2019-09-22,,,0,1,0
2019-09-23,,,5,5,2
2019-09-24,,,5,4,5
2019-09-25,,,5,3.5,3
2019-09-26,,,4.5,3,2.5
2019-09-27,,,0,3.5,0
2019-09-28,,,4.5,4,0
2019-09-29,,,5,4.5,1
2019-09-30,,,0,4.5,0.5
2019-10-01,,,0,4,0
2019-10-02,,,0,3,0
2019-10-03,,,5,3,1
2019-10-04,,,5,4,2.5
2019-10-05,,,5,3.5,0
2019-10-06,,,4.5,3.5,2.5
2019-10-07,,,5,3.5,0
2019-10-08,,,5,3,2
2019-10-09,,,5,4,5
2019-10-10,,,5,4,5
2019-10-11,,,5,4,5
2019-10-12,,,5,4,5
2019-10-13,,,5,3.5,4
2019-10-14,,,5,3.5,2
2019-10-15,,,2,4,0
2019-10-16,,,5,4,3.5
2019-10-17,,,5,3.5,1.5
2019-10-18,,,0,3.5,0
2019-10-19,,,5,4,2.5
2019-10-20,,,5,4,2.5
2019-10-21,,,5,3.5,3.5
2019-10-22,,,5,3.5,2
2019-10-23,,,4.5,3.5,0
2019-10-24,,,3,3.5,1
2019-10-25,,,5,3.5,3.5
2019-10-26,,,5,3,0.5
2019-10-27,,,5,3.5,3
2019-10-28,,,5,4,4
2019-10-29,,,5,3.5,3
2019-10-30,,,5,3.5,4
2019-10-31,,,5,4,5
2019-11-01,,,5,4,4
2019-11-02,,,5,4,2
2019-11-03,,,5,4,0
2019-11-04,,,5,4,3.5
2019-11-05,,,5,4,3.5
2019-11-06,,,5,4,4
2019-11-07,,,5,3.5,1.5
2019-11-08,,,5,3.5,2
2019-11-09,,,5,3.5,4.5
2019-11-10,,,2.5,3.5,1.5
2019-11-11,,,5,3,2
2019-11-12,,,5,4,3
2019-11-13,,,3.5,3.5,0
2019-11-14,,,5,3,3
2019-11-15,,,5,4,4.5
2019-11-16,,,5,4,3.5
2019-11-17,,,5,4,1.5
2019-11-18,,,0,3,0
2019-11-19,,,5,3,0
2019-11-20,,,5,3.5,4
2019-11-21,,,5,3.5,3.5
2019-11-22,,,5,3.5,3.5
2019-11-23,,,5,3.5,3.5
2019-11-24,,,0.5,3.5,0
2019-11-25,,,5,3,0
2019-11-26,,,0,3.5,0
2019-11-27,,,1.5,3,0
2019-11-28,,,5,3,0.5
2019-11-29,,,5,3.5,4.5
2019-11-30,,,5,4,3
2019-12-01,,,0,3.5,0
2019-12-02,,,5,2.5,0.5
2019-12-03,,,5,3,0
2019-12-04,,,5,3,1.5
2019-12-05,,,5,3,0.5
2019-12-06,,,5,3,0
2019-12-07,,,5,3,1
2019-12-08,,,5,3.5,0
2019-12-09,,,5,4,4
2019-12-10,,,5,3.5,3.5
2019-12-11,,,5,3,2.5
2019-12-12,,,5,3,2.5
2019-12-13,,,5,4,4.5
2019-12-14,,,5,3.5,1.5
2019-12-15,,,5,4,2.5
2019-12-16,,,5,4,3.5
2019-12-17,,,0,3.5,0
2019-12-18,,,5,3,0
2019-12-19,,,5,3,0
2019-12-20,,,5,3.5,0.5
2019-12-21,,,5,4,0
2019-12-22,,,4.5,4,0
2019-12-23,,,5,3.5,0.5
2019-12-24,,,5,4,3
2019-12-25,,,5,4,0
2019-12-26,,,0,3,0
2019-12-27,,,5,3,0
2019-12-28,,,5,4,3.5
2019-12-29,,,0,3.5,0
2019-12-30,,,5,3,0
2019-12-31,,,5,3,0
